Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Iteration01,Chrome 97.0.4692.71,,,2022-01-17 11:47:19,2022-01-17 14:05:44,2h - 18m - 25.500s,FAILED
,,,,,,,
Test Cases/Sign up/Sign up with correct information,Chrome 97.0.4692.71,,,2022-01-17 11:47:19,2022-01-17 11:51:30,4m - 10.689s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 11:47:20,2022-01-17 11:47:25,5.742s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 11:47:25,2022-01-17 11:47:27,2.131s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 11:47:27,2022-01-17 11:47:58,30.838s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""hoanghuy123"")",Chrome 97.0.4692.71,,,2022-01-17 11:47:58,2022-01-17 11:48:59,1m - 0.343s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""+prAWSr+2zbEAzlFsB6VFw=="")",Chrome 97.0.4692.71,,,2022-01-17 11:48:59,2022-01-17 11:49:29,30.299s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""+prAWSr+2zbEAzlFsB6VFw=="")",Chrome 97.0.4692.71,,,2022-01-17 11:49:29,2022-01-17 11:49:59,30.210s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Confirm password_mx_Field_1""), ""nchhuy19@apcs.fitus.edu.vn"")",Chrome 97.0.4692.71,,,2022-01-17 11:49:59,2022-01-17 11:50:59,1m - 0.286s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 11:50:59,2022-01-17 11:51:30,30.164s,PASSED
,,,,,,,
Test Cases/Sign up/Sign up with an existed username,Chrome 97.0.4692.71,,,2022-01-17 11:51:30,2022-01-17 11:57:06,5m - 36.632s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 11:51:30,2022-01-17 11:51:32,1.961s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 11:51:32,2022-01-17 11:51:34,1.699s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 11:51:34,2022-01-17 11:52:05,30.894s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""bqhuy19"")",Chrome 97.0.4692.71,,,2022-01-17 11:52:05,2022-01-17 11:53:05,1m - 0.358s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 11:53:05,2022-01-17 11:53:35,30.209s,PASSED
